K=2, W/V=1.2342266, B=1, time:0.064

1    2    
2 0.00000000 1.00000000 
3 1.00000000 0.00000000 
5 0.00000000 1.00000000 
6 1.00000000 0.00000000 
8 1.00000000 0.00000000 
9 1.00000000 0.00000000 
11 1.00000000 0.00000000 
12 0.00000000 1.00000000 
14 1.00000000 0.00000000 
15 1.00000000 0.00000000 
17 0.00000000 1.00000000 
18 1.00000000 0.00000000 
20 0.00000000 1.00000000 
21 1.00000000 0.00000000 
23 0.00000000 1.00000000 
24 1.00000000 0.00000000 
26 1.00000000 0.00000000 
27 0.00000000 1.00000000 
29 1.00000000 0.00000000 
30 1.00000000 0.00000000 
32 1.00000000 0.00000000 
33 1.00000000 0.00000000 
35 1.00000000 0.00000000 
36 1.00000000 0.00000000 
38 1.00000000 0.00000000 
39 1.00000000 0.00000000 
41 1.00000000 0.00000000 
42 1.00000000 0.00000000 
44 1.00000000 0.00000000 
45 1.00000000 0.00000000 
47 1.00000000 0.00000000 
48 0.00000000 1.00000000 
50 1.00000000 0.00000000 
51 1.00000000 0.00000000 
53 1.00000000 0.00000000 
54 1.00000000 0.00000000 
56 1.00000000 0.00000000 
57 1.00000000 0.00000000 
59 1.00000000 0.00000000 
60 1.00000000 0.00000000 
62 1.00000000 0.00000000 
63 1.00000000 0.00000000 
65 1.00000000 0.00000000 
66 1.00000000 0.00000000 
68 1.00000000 0.00000000 
69 1.00000000 0.00000000 
71 0.00000000 1.00000000 
72 0.00000000 1.00000000 
74 1.00000000 0.00000000 
75 1.00000000 0.00000000 
77 1.00000000 0.00000000 
78 1.00000000 0.00000000 
80 1.00000000 0.00000000 
81 1.00000000 0.00000000 
83 1.00000000 0.00000000 
84 1.00000000 0.00000000 
86 1.00000000 0.00000000 
87 1.00000000 0.00000000 
89 1.00000000 0.00000000 
90 1.00000000 0.00000000 
92 1.00000000 0.00000000 
93 1.00000000 0.00000000 
95 1.00000000 0.00000000 
96 1.00000000 0.00000000 
98 0.16633379 0.83366621 
99 1.00000000 0.00000000 
101 1.00000000 0.00000000 
102 1.00000000 0.00000000 
104 1.00000000 0.00000000 
105 1.00000000 0.00000000 
107 1.00000000 0.00000000 
108 1.00000000 0.00000000 
110 1.00000000 0.00000000 
111 1.00000000 0.00000000 
113 1.00000000 0.00000000 
114 1.00000000 0.00000000 
116 1.00000000 0.00000000 
117 1.00000000 0.00000000 
119 1.00000000 0.00000000 
120 1.00000000 0.00000000 
122 1.00000000 0.00000000 
123 1.00000000 0.00000000 
125 1.00000000 0.00000000 
126 1.00000000 0.00000000 
128 1.00000000 0.00000000 
129 1.00000000 0.00000000 
131 1.00000000 0.00000000 
132 1.00000000 0.00000000 
134 1.00000000 0.00000000 
135 1.00000000 0.00000000 
137 1.00000000 0.00000000 
138 1.00000000 0.00000000 
140 1.00000000 0.00000000 
141 1.00000000 0.00000000 
143 1.00000000 0.00000000 
144 1.00000000 0.00000000 
146 1.00000000 0.00000000 
147 1.00000000 0.00000000 
149 1.00000000 0.00000000 
150 1.00000000 0.00000000 
152 1.00000000 0.00000000 
153 1.00000000 0.00000000 
155 1.00000000 0.00000000 
156 1.00000000 0.00000000 
158 1.00000000 0.00000000 
159 1.00000000 0.00000000 
161 1.00000000 0.00000000 
162 1.00000000 0.00000000 
164 1.00000000 0.00000000 
165 1.00000000 0.00000000 
167 1.00000000 0.00000000 
168 1.00000000 0.00000000 
170 1.00000000 0.00000000 
171 1.00000000 0.00000000 
173 1.00000000 0.00000000 
174 1.00000000 0.00000000 
176 1.00000000 0.00000000 
177 1.00000000 0.00000000 
179 1.00000000 0.00000000 
180 1.00000000 0.00000000 
182 1.00000000 0.00000000 
183 1.00000000 0.00000000 
185 1.00000000 0.00000000 
186 1.00000000 0.00000000 
188 1.00000000 0.00000000 
189 1.00000000 0.00000000 
191 1.00000000 0.00000000 
192 1.00000000 0.00000000 
194 1.00000000 0.00000000 
195 1.00000000 0.00000000 
197 1.00000000 0.00000000 
198 1.00000000 0.00000000 
200 1.00000000 0.00000000 
201 1.00000000 0.00000000 
203 1.00000000 0.00000000 
204 1.00000000 0.00000000 
206 1.00000000 0.00000000 
207 1.00000000 0.00000000 
209 1.00000000 0.00000000 
210 1.00000000 0.00000000 
212 1.00000000 0.00000000 
213 1.00000000 0.00000000 
215 1.00000000 0.00000000 
216 1.00000000 0.00000000 
218 1.00000000 0.00000000 
219 1.00000000 0.00000000 
221 1.00000000 0.00000000 
222 1.00000000 0.00000000 
224 1.00000000 0.00000000 
225 1.00000000 0.00000000 
227 1.00000000 0.00000000 
228 1.00000000 0.00000000 
230 1.00000000 0.00000000 
231 1.00000000 0.00000000 
233 1.00000000 0.00000000 
234 1.00000000 0.00000000 
236 1.00000000 0.00000000 
237 1.00000000 0.00000000 
239 1.00000000 0.00000000 
