K=3, W/V=1.3578722, K=3, time:0.247

ca [*] :=
1  3
;

fragment allocation x on node k:

1    2    3    
0 1 1 0 
1 0 0 0 
2 1 0 0 
3 1 0 0 
4 1 0 0 
5 1 0 0 
6 1 1 0 
7 1 1 0 
8 1 1 0 
9 1 1 0 
10 1 0 0 
11 1 0 0 
12 1 0 0 
13 1 1 0 
14 1 1 0 
15 1 1 0 
16 1 1 0 
17 1 1 0 
18 1 1 0 
19 1 1 0 
20 1 1 0 
21 1 1 0 
22 1 1 1 
23 0 0 0 
24 1 1 1 
25 1 1 1 
26 1 1 1 
27 0 0 0 
28 1 1 1 
29 1 0 0 
30 1 1 1 
31 1 1 0 
32 1 1 1 
33 0 0 0 
34 0 0 0 
35 0 0 0 
36 0 0 1 
37 1 1 0 
38 0 0 0 
39 0 0 0 
40 0 0 0 
41 0 0 0 
42 0 0 0 
43 0 0 0 
44 0 0 0 
45 0 0 0 
46 0 0 0 
47 0 0 0 
48 0 0 0 
49 0 0 0 
50 1 0 1 
51 0 0 0 
52 1 0 1 
53 1 0 0 
54 0 0 0 
55 0 0 0 
56 0 0 0 
57 0 0 0 
58 1 0 0 
59 1 0 0 
60 1 0 0 
61 0 0 0 
62 1 0 0 
63 0 0 0 
64 1 0 1 
65 0 0 0 
66 1 0 1 
67 0 0 0 
68 1 0 0 
69 0 0 0 
70 1 0 0 
71 0 0 0 
72 1 0 0 
73 1 0 0 
74 1 0 0 
75 0 0 0 
76 0 0 0 
77 0 0 0 
78 0 0 0 
79 1 0 0 
80 1 0 0 
81 0 0 0 
82 1 0 0 
83 1 0 0 
84 1 0 0 
85 1 0 0 
86 1 1 1 
87 1 1 1 
88 0 0 0 
89 0 0 0 
90 1 1 1 
91 1 1 1 
92 0 0 1 
93 1 1 0 
94 1 1 1 
95 1 1 0 
96 1 1 1 
97 1 1 0 
98 1 1 1 
99 1 0 1 
100 1 0 1 
101 1 0 1 
102 0 0 0 
103 1 0 1 
104 1 0 1 
105 0 0 0 
106 1 0 1 
107 1 0 1 
108 1 1 1 
109 1 1 1 
110 0 0 0 
111 0 0 0 
112 0 0 0 
113 1 1 1 
114 1 0 0 
115 0 0 0 
116 0 0 0 
117 0 0 0 
118 1 0 0 
119 0 0 0 
120 0 0 0 
121 0 0 0 
122 0 0 0 
123 0 0 0 
124 1 1 0 
125 0 0 1 
126 1 1 0 
127 1 1 0 
128 1 1 0 
129 1 1 0 
130 1 1 0 
131 1 1 0 
132 1 1 0 
133 1 1 0 
134 0 0 0 
135 1 0 1 
136 0 0 0 
137 1 1 1 
138 1 0 0 
139 0 0 0 
140 0 0 0 
141 0 0 0 
142 0 0 0 
143 1 1 1 
144 0 0 0 
145 0 0 0 
146 0 0 0 
147 0 0 0 
148 1 0 0 
149 0 0 0 
150 0 0 0 
151 0 0 0 
152 0 0 0 
153 0 0 0 
154 0 0 0 
155 0 0 0 
156 0 0 0 
157 0 0 0 
158 0 0 0 
159 0 0 0 
160 0 0 0 
161 0 0 0 
162 1 0 0 
163 0 0 0 
164 0 0 0 
165 0 0 0 
166 0 0 0 
167 0 0 0 
168 1 1 0 
169 1 0 0 
170 1 1 0 
171 1 0 0 
172 1 1 0 
173 1 0 0 
174 1 0 0 
175 1 0 0 
176 1 1 0 
177 1 1 0 
178 1 0 0 
179 1 0 0 
180 1 0 0 
181 1 0 0 
182 1 0 0 
183 1 0 0 
184 1 0 0 
185 1 0 0 
186 1 0 0 
187 1 0 0 
188 0 0 0 
189 0 0 0 
190 1 0 0 
191 0 0 0 
192 0 0 0 
193 0 0 0 
194 0 0 0 
195 0 0 0 
196 0 0 0 
197 0 0 0 
198 0 0 0 
199 0 0 0 
200 1 0 0 
201 0 0 0 
202 0 0 0 
203 0 0 0 
204 0 0 0 
205 0 0 0 
206 0 0 0 
207 0 0 0 
208 0 0 0 
209 0 0 0 
210 0 0 0 
211 0 0 0 
212 1 1 0 
213 0 0 0 
214 1 1 0 
215 1 1 0 
216 1 0 0 
217 0 0 0 
218 0 0 0 
219 1 0 0 
220 1 0 0 
221 1 1 0 
222 1 1 0 
223 1 0 0 
224 1 0 0 
225 1 0 0 
226 1 0 0 
227 0 0 0 
228 1 0 0 
229 1 0 0 
230 1 0 0 
231 1 0 0 
232 1 0 0 
233 1 0 0 
234 1 0 0 
235 1 0 0 
236 1 0 0 
237 1 0 0 
238 0 0 0 
239 0 0 0 
240 0 0 0 
241 0 0 0 
242 0 0 0 
243 0 0 0 
244 0 0 0 
245 0 0 0 
246 0 0 0 
247 1 0 0 
248 0 0 0 
249 0 0 0 
250 0 0 0 
251 1 0 0 
252 0 0 0 
253 0 0 0 
254 0 0 0 
255 0 0 0 
256 1 0 0 
257 0 0 0 
258 0 0 0 
259 1 0 0 
260 1 0 0 
261 0 0 0 
262 1 0 0 
263 0 0 0 
264 0 0 0 
265 1 0 0 
266 0 0 0 
267 0 0 0 
268 0 0 0 
269 0 0 0 
270 1 0 0 
271 1 0 0 
272 0 0 0 
273 0 0 0 
274 0 0 0 
275 0 0 0 
276 0 0 0 
277 0 0 0 
278 0 0 0 
279 1 0 0 
280 1 0 0 
281 1 0 0 
282 1 0 0 
283 1 0 0 
284 0 0 0 
285 1 1 0 
286 0 0 0 
287 0 0 0 
288 0 0 0 
289 0 0 0 
290 1 0 0 
291 0 0 0 
292 0 0 0 
293 1 0 0 
294 1 0 0 
295 1 0 0 
296 0 0 0 
297 0 0 0 
298 0 0 0 
299 1 1 0 
300 1 0 0 
301 1 0 0 
302 0 0 0 
303 1 0 0 
304 0 0 0 
305 0 0 0 
306 1 0 0 
307 1 0 0 
308 1 0 0 
309 1 0 0 
310 1 0 0 
311 0 0 0 
312 1 1 0 
313 0 0 0 
314 1 0 0 
315 0 0 0 
316 1 0 0 
317 1 0 0 
318 1 0 0 
319 0 0 0 
320 1 0 0 
321 1 0 0 
322 1 0 0 
323 1 1 0 
324 1 0 0 
325 1 0 0 
326 0 0 0 
327 0 0 0 
328 1 0 0 
329 0 0 0 
330 1 0 0 
331 0 0 0 
332 0 0 0 
333 1 0 0 
334 1 1 1 
335 1 0 0 
336 1 0 0 
337 1 1 1 
338 1 1 0 
339 0 0 0 
340 1 0 0 
341 1 0 0 
342 1 0 0 
343 1 0 0 
344 1 0 0 
345 1 0 0 
346 1 0 0 
347 1 0 0 
348 1 0 0 
349 1 0 0 
350 1 0 0 
351 1 1 0 
352 1 1 0 
353 1 1 0 
354 0 1 0 
355 1 1 1 
356 1 0 0 
357 1 0 1 
358 1 0 0 
359 1 0 0 
360 0 0 0 
361 0 0 0 
362 1 0 0 
363 1 0 0 
364 1 0 0 
365 1 0 0 
366 1 0 0 
367 1 0 0 
368 1 1 1 
369 1 0 0 
370 1 0 1 
371 1 1 0 
372 1 0 0 
373 1 0 0 
374 1 0 0 
375 1 1 0 
376 1 0 0 
377 1 0 0 
378 1 0 0 
379 1 1 1 
380 1 0 0 
381 1 0 1 
382 1 0 1 
383 1 1 0 
384 1 0 0 
385 1 1 0 
386 1 1 0 
387 1 1 0 
388 1 1 0 
389 1 1 0 
390 1 0 0 
391 1 0 1 
392 1 0 0 
393 1 0 0 
394 0 0 0 
395 1 0 0 
396 1 0 0 
397 1 0 0 
398 1 0 0 
399 1 0 0 
400 1 0 0 
401 1 0 0 
402 1 1 1 
403 1 0 0 
404 1 1 1 
405 1 1 0 
406 1 0 0 
407 1 0 0 
408 1 0 0 
409 1 1 1 
410 1 0 0 
411 1 1 0 
412 1 1 1 
413 1 1 0 
