K=2, W/V=1.1736350, K=2, time:0.051

ca [*] :=
1  2
;

fragment allocation x on node k:

1    2    
0 0 1 
1 0 0 
2 0 1 
3 0 1 
4 0 1 
5 0 1 
6 0 1 
7 0 1 
8 0 1 
9 0 1 
10 0 1 
11 0 1 
12 0 1 
13 1 1 
14 0 1 
15 1 1 
16 0 1 
17 0 1 
18 0 1 
19 0 1 
20 0 1 
21 0 1 
22 1 1 
23 0 0 
24 1 1 
25 1 1 
26 1 1 
27 0 0 
28 1 1 
29 0 1 
30 1 1 
31 0 1 
32 1 1 
33 0 0 
34 0 0 
35 0 0 
36 1 1 
37 0 0 
38 0 0 
39 0 0 
40 0 0 
41 0 0 
42 0 0 
43 0 0 
44 0 0 
45 0 0 
46 0 0 
47 0 0 
48 0 0 
49 0 0 
50 1 1 
51 0 0 
52 1 1 
53 0 1 
54 0 0 
55 0 0 
56 0 0 
57 0 0 
58 0 1 
59 0 1 
60 0 1 
61 0 0 
62 0 1 
63 0 0 
64 0 1 
65 0 0 
66 0 1 
67 0 0 
68 0 1 
69 0 0 
70 0 1 
71 0 0 
72 0 1 
73 0 1 
74 0 1 
75 0 0 
76 0 0 
77 0 0 
78 0 0 
79 0 1 
80 0 1 
81 0 0 
82 0 1 
83 0 1 
84 0 1 
85 0 1 
86 1 1 
87 1 1 
88 0 0 
89 0 0 
90 1 1 
91 1 1 
92 1 0 
93 0 1 
94 1 1 
95 0 1 
96 1 1 
97 0 1 
98 1 1 
99 1 1 
100 1 1 
101 0 1 
102 0 0 
103 0 1 
104 0 1 
105 0 0 
106 1 1 
107 0 1 
108 1 1 
109 1 1 
110 0 0 
111 0 0 
112 0 0 
113 1 1 
114 0 1 
115 0 0 
116 0 0 
117 0 0 
118 0 0 
119 0 0 
120 0 0 
121 0 0 
122 0 0 
123 0 0 
124 0 1 
125 1 1 
126 0 1 
127 0 1 
128 0 1 
129 0 1 
130 0 1 
131 0 1 
132 0 1 
133 0 1 
134 0 0 
135 1 1 
136 0 0 
137 0 1 
138 0 1 
139 0 0 
140 0 0 
141 0 0 
142 0 0 
143 0 1 
144 0 0 
145 0 0 
146 0 0 
147 0 0 
148 0 1 
149 0 0 
150 0 0 
151 0 0 
152 0 0 
153 0 0 
154 0 0 
155 0 0 
156 0 0 
157 0 0 
158 0 0 
159 0 0 
160 0 0 
161 0 0 
162 0 0 
163 0 0 
164 0 0 
165 0 0 
166 0 0 
167 0 0 
168 1 1 
169 0 1 
170 0 1 
171 0 1 
172 0 1 
173 0 1 
174 0 1 
175 0 1 
176 1 1 
177 1 1 
178 0 1 
179 0 0 
180 0 0 
181 0 0 
182 0 0 
183 0 0 
184 0 0 
185 0 0 
186 0 1 
187 0 1 
188 0 0 
189 0 0 
190 0 1 
191 0 0 
192 0 0 
193 0 0 
194 0 0 
195 0 0 
196 0 0 
197 0 0 
198 0 0 
199 0 0 
200 0 1 
201 0 0 
202 0 0 
203 0 0 
204 0 0 
205 0 0 
206 0 0 
207 0 0 
208 0 0 
209 0 0 
210 0 0 
211 0 0 
212 0 1 
213 0 0 
214 0 1 
215 0 1 
216 0 1 
217 0 0 
218 0 0 
219 0 1 
220 0 1 
221 0 1 
222 0 1 
223 0 1 
224 0 0 
225 0 0 
226 0 0 
227 0 0 
228 0 0 
229 0 0 
230 0 0 
231 0 1 
232 1 1 
233 0 1 
234 1 1 
235 0 1 
236 0 1 
237 0 1 
238 0 0 
239 0 0 
240 0 0 
241 0 0 
242 0 0 
243 0 0 
244 0 0 
245 0 0 
246 0 0 
247 0 1 
248 0 0 
249 0 0 
