    1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30    31    32    33    34    35    36    37    38    39    40    41    42    43    44    45    46    47    48    49    50    51    52    53    54    55    56    57    58    59    60    61    62    63    64    65    66    67    68    69    70    71    72    73    74    75    76    77    78    79    80    81    82    83    84    85    86    87    88    89    90    91    92    93    94    95    96    97    98    99   100 
    2 1.00000000 0.76407696 0.77472752 1.53365787 0.00000000 0.00000000 1.68647450 2.05331447 0.31884006 2.23484772 0.81358792 0.00000000 0.00000000 1.52627829 1.32451598 0.53838422 1.82908493 0.30647565 0.00000000 1.30007265 0.00000000 0.60795545 1.43565248 1.78380310 2.42746794 2.31870885 2.11014407 1.85042230 1.97071633 0.42432401 0.00000000 0.74760615 1.90062077 0.75971346 2.56008745 0.16986035 0.00000000 2.62227630 0.00000000 1.89148270 1.64195310 1.79754043 0.00025268 0.86501545 0.00000000 2.15978799 1.18514751 0.00000000 0.71705364 0.00000000 0.00000000 0.19603577 2.17401974 1.98789766 0.68791881 2.37414073 0.44532489 0.00000000 2.64200363 0.00000000 2.44900102 0.00000000 0.57442955 2.14552397 2.33870482 2.41270493 1.48836233 2.53142992 0.72307802 0.47818917 1.83328533 2.09322188 2.15885966 2.39128503 0.00000000 0.00000000 2.21819073 0.00000000 0.00000000 0.00000000 1.96855293 0.00000000 2.01602350 0.92448752 1.83469761 0.00000000 2.60003667 0.32204522 1.72274800 2.30996460 1.04989602 0.51035532 0.04639302 0.33543765 1.29442185 0.00000000 0.00000000 1.89951912 0.44903375 0.19467722
    3 1.00000000 0.39152275 1.90010414 2.43825018 2.06037232 2.12828374 1.40446561 0.59784540 1.88277420 0.36563206 2.57462020 0.00000000 0.02332090 0.71281824 1.18317355 1.98097331 0.64622007 1.21637816 2.17251846 0.00000000 0.23215528 1.23974199 2.60978800 0.00000000 0.00000000 1.61717828 0.00000000 0.00000000 0.47306126 0.42394352 0.00000000 1.67097869 0.00000000 0.71929190 0.49094886 1.68751460 0.60530909 1.75123035 0.00000000 1.38223571 2.20452850 0.87017763 0.63910725 0.00000000 1.23190382 2.00034192 0.00000000 2.45790358 1.07739654 0.00000000 2.60860352 0.68486690 1.59062373 0.59366030 0.57810535 1.20969260 0.00000000 0.00000000 2.06110811 2.18153187 1.16078736 0.68994837 0.35312793 0.00000000 1.59574551 0.38549886 0.00000000 2.04385473 0.00000000 2.30599311 0.00000000 1.62436077 0.84959144 0.59977953 0.40155874 0.13192965 0.00000000 0.60616687 2.18844426 0.17797318 1.79245062 1.52807994 2.30422554 1.04441436 0.00000000 0.95993041 0.00000000 0.29174131 0.64624665 0.00000000 2.63320120 0.87871547 1.72542609 2.40608776 1.05906096 0.00000000 2.13689279 1.01783254 0.62243255 2.44110866
    5 1.00000000 1.33712679 1.02869402 0.44164774 1.57702573 1.20770161 0.00000000 0.04537302 2.17755628 0.13629662 0.00000000 1.91648157 1.02408796 1.50959337 0.16783068 0.38729145 2.03459267 0.00000000 0.00000000 0.00000000 2.58290984 2.63907781 1.93966050 1.58412404 0.00000000 0.06092106 0.00000000 1.82244035 0.00000000 0.53408559 2.06840169 0.00000000 0.71198748 2.20775258 0.08804504 0.56802310 2.55919440 1.51015076 2.05576432 0.00000000 0.00000000 0.00000000 2.45598975 1.62850481 0.00000000 2.49432773 0.51634442 1.56946573 0.30663478 2.48363086 2.23633175 0.00000000 0.00000000 2.41104255 2.27814884 0.00000000 0.26425253 1.19016514 0.30104632 0.58429442 0.00000000 0.13716719 0.37085560 0.75146047 0.00000000 2.33868932 0.47190262 0.90298174 0.00000000 0.21402622 0.00000000 2.14481153 1.67259649 0.00000000 1.22453324 1.76346395 2.12425054 2.57701154 1.99553146 1.37413829 2.58299683 0.00000000 2.29049507 1.49908551 0.00000000 2.20939863 0.96993626 0.50514571 1.33430808 0.00000000 0.00000000 0.84244211 1.07686501 1.66403835 0.99715962 0.00000000 2.62165894 1.89690248 0.50278701 1.90374279
    7 1.00000000 1.68952282 0.00000000 0.00000000 0.00000000 2.43536386 1.66906950 2.11084440 0.87818750 0.00000000 0.75932789 0.00000000 2.33904338 0.00000000 0.41543442 1.55370114 0.53390944 0.00000000 0.00000000 2.51312544 0.32648815 1.97234078 1.47855842 1.55970595 0.00000000 0.56636882 0.53981826 1.24738834 0.00000000 1.61920576 0.37164719 0.25204831 1.82669975 2.49398551 0.00000000 1.83805453 0.00000000 0.15953800 0.00000000 1.72689050 0.00000000 1.52380788 0.00000000 1.27750042 0.38045359 0.79495563 1.29866056 0.00000000 0.41097848 0.52546315 2.09217726 0.33089179 1.40842645 0.00000000 2.34443783 1.89660040 0.64571171 0.36682314 0.04466776 0.00000000 0.40786810 0.59409701 0.00000000 1.88539328 0.50497346 0.00000000 0.00000000 1.36981010 0.00000000 0.00000000 0.30713364 0.53795356 1.44714211 0.86328857 0.00000000 0.60257601 0.07383250 2.58125367 0.46833866 0.00000000 0.00000000 2.46263750 1.25586909 1.38703958 2.16753054 1.04346797 1.88298585 2.06058061 0.00000000 0.00000000 1.90583402 0.25877823 1.15938906 0.88538939 2.07074508 0.56498837 2.60379772 2.28587778 0.00000000 0.25532097
    8 1.00000000 0.96803737 1.70782815 0.46017896 2.66328698 1.74131613 0.00000000 0.00000000 2.13940367 0.43382499 2.13652162 2.56429583 0.77267426 0.00000000 0.00000000 0.00000000 1.35684215 0.00000000 1.32441874 1.97683427 0.00000000 2.21036518 0.00000000 0.00000000 2.37646060 1.92563591 1.19856310 1.25288270 2.59281315 0.00000000 1.26863244 0.04126892 0.00000000 1.02089597 1.71881286 0.33124678 0.46177388 0.00000000 0.00000000 0.79546689 2.59643132 0.23449716 2.18504829 0.80143563 1.36468701 2.42122821 0.41846880 0.00000000 2.52683248 0.36960315 0.00000000 2.66540472 2.34466764 0.00000000 1.25954123 2.31389863 1.37018130 0.00000000 2.23059379 2.62487896 2.26315817 0.00000000 2.47909813 1.03066980 2.10312081 0.09558798 0.69776279 0.00000000 2.36159817 0.53423536 0.23220233 2.10652601 0.88656634 0.00000000 1.83536961 0.00000000 0.17174447 0.19057759 2.33138817 1.86931845 0.09777232 0.00000000 1.92214418 2.54971417 0.14974546 0.00000000 0.83662701 0.00000000 1.73047329 0.91256320 0.13435694 2.19259134 0.00000000 1.27998358 1.57849510 0.67029082 2.11872268 0.00000000 0.82488981 1.47238660
    9 1.00000000 0.71003079 2.13841179 0.00000000 2.02072344 0.00000000 0.00000000 0.00000000 0.00000000 1.25868341 1.95373793 0.07245027 0.00000000 0.51462610 2.11655856 0.87400629 0.60945755 1.93156130 2.09481423 0.00000000 1.67261617 0.38470430 1.77393323 0.47087060 1.40586778 1.10247249 0.62041040 1.99927278 2.29463869 2.48723411 1.68027663 0.91301716 0.00000000 0.00000000 1.36165726 0.00000000 0.00000000 0.00000000 0.42466973 1.74431086 2.26460663 1.78187434 0.88188072 1.36700694 0.04963516 0.17198972 0.13813555 1.58624059 0.00000000 0.00000000 2.10475228 0.67131700 0.00000000 0.92056788 2.02588989 1.89659467 0.55573841 2.03880130 2.54729568 0.00000000 0.92017541 0.40184389 0.00000000 1.29904332 0.00000000 0.00000000 0.50001296 0.42232313 0.76597181 1.40857228 0.15452610 2.61458521 0.00000000 0.00000000 1.25543421 1.10894332 1.92077684 0.24186746 2.02569194 0.25036339 1.82276081 1.75544685 1.65646913 1.13731919 0.98110507 1.45768163 0.00000000 0.11005583 0.92462856 0.80034092 2.37542135 0.00000000 0.57570214 0.38916253 1.96200686 0.00000000 0.00000000 0.48150999 1.87633568 0.00000000
   10 1.00000000 1.05325939 2.29230176 2.17366576 2.14800350 2.45707967 0.59092208 1.95274919 1.26289295 0.00000000 1.33936845 1.18604625 0.00000000 1.93201408 2.44417165 0.00000000 2.35741056 2.16620450 0.60101465 0.24911960 0.00000000 1.07619670 0.04153586 1.48687774 2.33310360 0.15286061 0.59389656 1.83739773 0.59173558 0.00000000 2.16718643 0.38089225 1.00169814 0.00000000 1.70415395 0.00000000 0.00000000 0.60207939 0.77885627 0.28994003 2.38327246 0.57201825 0.42717896 1.08298158 1.94646207 0.00000000 2.39602484 1.81862741 0.01175570 0.22972490 2.08486948 2.08477626 0.15287789 1.62549583 0.57797126 0.55056934 0.00000000 0.00000000 1.34561377 2.26659693 0.37461993 0.07626341 0.13919295 1.62958775 0.00000000 0.19755236 0.00000000 0.00000000 0.94420798 0.00000000 1.09875337 0.00000000 0.19738340 2.61955133 0.50778486 1.12323475 0.00000000 1.65984730 0.00000000 1.38356245 0.13043640 1.80682398 1.33902343 0.00000000 0.72353443 0.17050706 1.96876201 1.91785317 0.13885589 0.11916032 0.66078560 1.57271611 0.00000000 1.55619473 1.09576900 2.49497366 2.26454092 0.00000000 0.51402200 0.86322184
   12 1.00000000 0.00000000 2.44238355 1.79406374 1.47568796 0.35310866 0.00000000 1.25445775 0.44075451 1.50359007 1.56420636 0.00000000 1.31181911 0.00000000 2.57050720 2.45408714 0.00000000 0.13902269 1.56116906 2.31774880 0.03702110 0.05858218 0.00000000 0.85027504 0.00000000 0.98157537 0.00000000 2.01982238 0.00000000 1.97284841 1.29654667 2.23922605 2.42423172 1.74950572 0.87756814 2.13448233 2.65248974 1.69872084 1.19557488 2.17895033 0.60079257 1.78071585 2.51102642 0.56941092 2.37425759 0.00000000 0.44797108 0.00000000 2.53764555 0.42546230 2.12653744 0.64285505 0.00000000 0.00000000 1.63899780 0.19004810 0.00000000 1.28706684 0.00000000 0.00000000 0.48136658 0.00000000 2.63242430 0.00000000 2.09418682 0.00000000 1.08980398 1.85679045 1.08462168 0.00000000 0.16997700 1.92176947 0.51683499 0.00000000 1.44790733 0.00000000 0.00000000 2.11985458 1.32311111 2.34645666 0.04681206 1.79377167 1.71809105 1.42638188 0.10823921 0.00000000 0.56214552 1.24370108 0.49232534 2.48197801 1.57551477 0.00000000 1.31621280 1.84485936 2.49126121 0.58176369 2.61341409 1.80738762 1.59611224 1.98481883
   13 1.00000000 0.16422301 1.87341875 1.94948658 0.10866143 0.00000000 0.09848882 1.29357817 0.00000000 0.00000000 2.08615148 0.26524362 0.50611418 1.00457896 1.38266265 0.05464625 0.02534523 1.09760209 0.87937920 0.37279018 1.38778290 0.57448264 1.44222233 2.33301438 1.60087523 1.27752510 2.57897475 2.30875020 1.40224304 2.46554052 1.28135751 1.47950889 1.79103923 1.56834631 0.00000000 1.02916969 2.16081676 0.00000000 2.03498734 0.91135857 1.50610714 0.32810716 0.00000000 2.35300841 0.00000000 0.00000000 0.66371211 0.00000000 0.00000000 0.54923955 1.24448487 0.00000000 0.31940887 2.35693942 1.51141078 0.40711014 0.65091408 0.00000000 0.66283773 1.90694554 2.11129911 0.00000000 0.48731684 2.15544487 1.75875066 0.43251800 1.16374306 1.34393776 0.76915529 0.00000000 2.28556824 1.06614389 1.46489321 0.00000000 1.59879668 0.00000000 1.07571486 0.00000000 0.71711344 2.55786485 1.79745679 2.06678839 0.91444589 0.63351140 1.66367218 0.29200397 0.00000000 0.00000000 1.13454488 2.18561387 0.78039310 0.00152615 1.36673744 0.00000000 0.07271241 2.58969194 1.51124317 2.07450787 2.06884836 0.68841622
   14 1.00000000 0.00000000 1.80920287 1.72556863 0.16525438 0.00000000 0.81779007 0.00000000 1.27002368 2.40711683 1.70453216 0.00000000 0.81336320 0.00000000 1.62116518 1.54073493 0.00008486 0.00000000 1.96442745 2.15935697 1.09031539 0.64106950 0.00000000 0.55361145 0.00000000 0.00000000 0.90272033 0.00000000 0.00000000 2.57508630 0.00000000 0.79117846 1.01904516 0.00000000 0.89829886 0.00000000 1.85028790 0.00000000 2.59572330 1.76504555 1.32448114 0.00000000 0.00000000 0.00000000 0.00000000 1.22260269 0.00000000 2.15134515 2.10242911 0.80474060 0.59894819 0.64423441 2.42582317 2.65404814 0.00000000 2.19842576 0.00000000 1.40502412 0.00000000 0.60372951 0.00000000 0.55132985 2.08724457 0.00000000 2.38961971 1.89950459 0.74222986 0.32500097 0.98761232 0.06220004 0.00000000 2.62781485 0.88324397 0.00000000 0.00000000 1.69836265 0.00000000 2.21916069 0.00000000 1.34445292 0.00000000 0.61484944 0.20343267 1.51467562 1.95119687 0.00000000 1.30841184 0.90103231 2.17613602 1.59863142 1.66422934 0.00000000 2.12531633 1.69631631 0.00000000 1.15622018 0.56435559 2.06267606 0.94435504 1.26690722
