We/V = 5.52788175

sum{s in 101 .. SS} (Le[s] - 1/KK)/card(101 .. SS) = 4.77424355e-05

Le [*] :=
101 0.125         126 0.125         151 0.125         176 0.125
102 0.125         127 0.125         152 0.125         177 0.125
103 0.125         128 0.125         153 0.125         178 0.125
104 0.125         129 0.125         154 0.125         179 0.125
105 0.125         130 0.125         155 0.125         180 0.125
106 0.125         131 0.125         156 0.125         181 0.125
107 0.125         132 0.125         157 0.125         182 0.125
108 0.125         133 0.125         158 0.125         183 0.125
109 0.129774244   134 0.125         159 0.125         184 0.125
110 0.125         135 0.125         160 0.125         185 0.125
111 0.125         136 0.125         161 0.125         186 0.125
112 0.125         137 0.125         162 0.125         187 0.125
113 0.125         138 0.125         163 0.125         188 0.125
114 0.125         139 0.125         164 0.125         189 0.125
115 0.125         140 0.125         165 0.125         190 0.125
116 0.125         141 0.125         166 0.125         191 0.125
117 0.125         142 0.125         167 0.125         192 0.125
118 0.125         143 0.125         168 0.125         193 0.125
119 0.125         144 0.125         169 0.125         194 0.125
120 0.125         145 0.125         170 0.125         195 0.125
121 0.125         146 0.125         171 0.125         196 0.125
122 0.125         147 0.125         172 0.125         197 0.125
123 0.125         148 0.125         173 0.125         198 0.125
124 0.125         149 0.125         174 0.125         199 0.125
125 0.125         150 0.125         175 0.125         200 0.125
;

