We/V = 4.16164437

sum{s in 101 .. SS} (Le[s] - 1/KK)/card(101 .. SS) = 0.0041047197

Le [*] :=
101 0.125         126 0.125         151 0.125         176 0.125
102 0.13401117    127 0.150639791   152 0.125         177 0.129087134
103 0.125         128 0.135212936   153 0.125         178 0.125
104 0.125         129 0.125         154 0.125         179 0.125
105 0.125         130 0.125         155 0.125         180 0.130311973
106 0.139152627   131 0.125         156 0.125         181 0.125
107 0.132231355   132 0.125         157 0.144720847   182 0.125
108 0.125         133 0.125         158 0.125         183 0.125
109 0.194661365   134 0.125         159 0.125         184 0.125
110 0.125         135 0.141434241   160 0.125         185 0.125
111 0.125         136 0.125         161 0.125         186 0.125
112 0.125         137 0.125         162 0.125         187 0.125
113 0.125         138 0.125         163 0.125         188 0.130171719
114 0.146388587   139 0.125         164 0.125         189 0.125
115 0.125         140 0.15003414    165 0.127295835   190 0.125
116 0.131832893   141 0.151797875   166 0.125         191 0.125
117 0.125         142 0.125         167 0.125         192 0.125
118 0.132863615   143 0.129286901   168 0.125         193 0.125
119 0.147978905   144 0.151595711   169 0.125         194 0.125
120 0.125         145 0.132001213   170 0.125         195 0.134472717
121 0.150807221   146 0.125         171 0.125         196 0.125
122 0.125         147 0.125         172 0.125         197 0.12571255
123 0.125         148 0.125         173 0.128958747   198 0.125
124 0.125         149 0.143492007   174 0.125         199 0.139317894
125 0.125         150 0.125         175 0.125         200 0.125
;

